misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,10080,875,-4.981639068493151,1.4174151778221131,-0.006997922994196415,4.207543456554413
40,19680,835,3.02876827,1.4153988480567932,-0.004802369698882103,1.1820176482200622
60,29280,809,8.225748110000001,1.4147873640060424,0.0001086108386516571,7.221994960308075
80,38880,788,6.77682228,1.413565742969513,-0.0005958825349807739,9.805909681320191
100,48480,783,4.214241449999999,1.413642370700836,-0.01742967665195465,0.6765348672866821
120,58080,789,6.780196620000001,1.4133169174194335,-0.004755177907645703,6.559987342357635
140,67680,790,7.94238401,1.4136298418045044,-0.006409689784049988,4.449914181232453
160,77280,797,10.42270459,1.4127724051475525,-0.0048150777816772464,12.321781182289124
180,86880,797,12.14163846,1.4122092723846436,-0.004632493853569031,0.8357186436653137
200,96480,795,13.86847201,1.4115659236907958,-0.0029923930764198304,9.286059021949768
220,106080,793,16.65659389,1.4115757942199707,-0.0024423868395388126,4.1731250166893
240,115680,789,12.918729360000002,1.4115216732025146,0.0004294176585972309,12.37295680642128
260,125280,791,13.323256059999999,1.4112469792366027,-5.2354391664266585e-05,15.651282203197479
280,134880,792,10.60956289,1.4106654524803162,-0.003162047453224659,8.781318420171738
300,144480,791,12.057738519999997,1.410027801990509,0.00024841278791427613,16.825493144989014
320,154080,793,14.750447379999999,1.4095622420310974,-0.002298840880393982,1.637195897102356
340,163680,792,13.966480569999998,1.4091081380844117,0.003958449885249138,10.738543999195098
360,173280,793,16.72749106,1.4079540491104126,-0.00580250471830368,7.8265134453773495
380,182880,792,16.42976516,1.407994031906128,0.00118764266371727,33.92030440568924
400,192480,794,18.48326942,1.407558763027191,0.0044255081564188005,32.90820417404175
420,202080,797,16.61003744,1.4070509314537047,0.000899812369607389,17.216822963953017
